text,sentiment
I love this product! It works great and I'm very satisfied.,positive
This is the worst experience I've ever had. Completely disappointed.,negative
"Not bad, but could be better. It's okay overall.",neutral
Absolutely fantastic! Highly recommend it to everyone.,positive
Terrible service. Will not buy again.,negative
"It's decent. Nothing extraordinary, but not terrible either.",neutral
I am extremely happy with the results.,positive
Very poor quality. Do not waste your money.,negative
Pretty good value for the price.,positive
Horrible experience. Customer support was useless.,negative
